,alpha_c.csv
502,https://www.rxlist.com/combivent-drug.htm
503,https://www.rxlist.com/combivent-respimat-drug.htm
504,https://www.rxlist.com/combivir-drug.htm
505,https://www.rxlist.com/combunox-drug.htm
507,https://www.rxlist.com/compazine-drug.htm
508,https://www.rxlist.com/complera-drug.htm
509,https://www.rxlist.com/compro-drug.htm
510,https://www.rxlist.com/comtan-drug.htm
511,https://www.rxlist.com/comvax-drug.htm
512,https://www.rxlist.com/concensi-drug.htm
513,https://www.rxlist.com/concerta-drug.htm
514,https://www.rxlist.com/condylox-drug.htm
515,https://www.rxlist.com/condylox-topical-drug.htm
516,https://www.rxlist.com/vaprisol-drug.htm
517,https://www.rxlist.com/premarin-drug.htm
518,https://www.rxlist.com/duavee-drug.htm
519,https://www.rxlist.com/premarin-injection-drug.htm
520,https://www.rxlist.com/premarin-vaginal-cream-drug.htm
521,https://www.rxlist.com/prempro-drug.htm
522,https://www.rxlist.com/conjupri-drug.htm
523,https://www.rxlist.com/conray-drug.htm
524,https://www.rxlist.com/consensi-drug.htm
525,https://www.rxlist.com/constulose-drug.htm
526,https://www.rxlist.com/contrave-drug.htm
527,https://www.rxlist.com/conzip-drug.htm
528,https://www.rxlist.com/aliqopa-drug.htm
529,https://www.rxlist.com/copaxone-drug.htm
530,https://www.rxlist.com/copegus-drug.htm
531,https://www.rxlist.com/copiktra-drug.htm
533,https://www.rxlist.com/detectnet-drug.htm
536,https://www.rxlist.com/allocord-drug.htm
537,https://www.rxlist.com/cordarone-drug.htm
538,https://www.rxlist.com/cordarone-iv-drug.htm
541,https://www.rxlist.com/cordran-lotion-drug.htm
542,https://www.rxlist.com/cordran-tape-drug.htm
545,https://www.rxlist.com/corgard-drug.htm
546,https://www.rxlist.com/corifact-drug.htm
547,https://www.rxlist.com/corlanor-drug.htm
548,https://www.rxlist.com/corlopam-drug.htm
552,https://www.rxlist.com/cortaid-drug.htm
553,https://www.rxlist.com/cortaren-drug.htm
554,https://www.rxlist.com/cortef-drug.htm
555,https://www.rxlist.com/cortenema-drug.htm
556,https://www.rxlist.com/acthrel-drug.htm
558,https://www.rxlist.com/cortisporin-cream-drug.htm
559,https://www.rxlist.com/cortisporin-ointment-drug.htm
560,https://www.rxlist.com/cortisporin-ophthalmic-ointment-drug.htm
561,https://www.rxlist.com/cortisporin-ophthalmic-suspension-drug.htm
562,https://www.rxlist.com/cortisporin-otic-solution-drug.htm
563,https://www.rxlist.com/cortisporin-otic-suspension-drug.htm
566,https://www.rxlist.com/corvert-drug.htm
567,https://www.rxlist.com/corzide-drug.htm
568,https://www.rxlist.com/cosela-drug.htm
569,https://www.rxlist.com/cosentyx-drug.htm
570,https://www.rxlist.com/cosmegen-drug.htm
571,https://www.rxlist.com/cosopt-drug.htm
574,https://www.rxlist.com/cotempla-xr-odt-drug.htm
575,https://www.rxlist.com/coumadin-drug.htm
576,https://www.rxlist.com/covera-hs-drug.htm
577,https://www.rxlist.com/pfizer-biontech-covid-19-vaccine-drug.htm
578,https://www.rxlist.com/moderna-covid-19-vaccine-drug.htm
579,https://www.rxlist.com/cozaar-drug.htm
580,https://www.rxlist.com/creon-drug.htm
581,https://www.rxlist.com/creon-10-drug.htm
582,https://www.rxlist.com/creon-20-drug.htm
583,https://www.rxlist.com/creon-5-drug.htm
584,https://www.rxlist.com/cresemba-drug.htm
585,https://www.rxlist.com/crestor-drug.htm
586,https://www.rxlist.com/crinone-drug.htm
587,https://www.rxlist.com/eucrisa-drug.htm
588,https://www.rxlist.com/crixivan-drug.htm
589,https://www.rxlist.com/adakveo-drug.htm
